
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
0.078756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.123827,-0.0488,0.3217,1.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.135678,-0.0488,0.3217,1.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,935.9216,0.0000,0.0000,0.0000,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.142924,-0.0488,0.3217,1.0039,0.0000,0.0000,0.0000,0.0330,-0.3477,0.1489,935.9216,0.0000,0.0000,0.0000,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.189734,-0.0488,0.3217,1.0039,0.0000,0.0000,0.0000,0.0330,-0.3477,0.1489,935.9216,24.3250,-23.7650,-4.9962,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.190617,0.0898,0.3379,0.6820,0.0000,0.0000,0.0000,0.0330,-0.3477,0.1489,935.9216,24.3250,-23.7650,-4.9962,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.210380,0.0898,0.3379,0.6820,0.0000,0.0000,0.0000,0.0608,0.3042,-0.0041,935.9216,24.3250,-23.7650,-4.9962,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.215454,0.0898,0.3379,0.6820,0.0000,0.0000,0.0000,0.0608,0.3042,-0.0041,935.8885,24.3250,-23.7650,-4.9962,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.255521,0.0898,0.3379,0.6820,0.0000,0.0000,0.0000,0.0608,0.3042,-0.0041,935.8311,24.3250,-23.7650,-4.9962,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.257749,-0.0605,0.4002,1.0656,0.0000,0.0000,0.0000,0.0608,0.3042,-0.0041,935.8311,24.3250,-23.7650,-4.9962,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.269053,-0.0605,0.4002,1.0656,0.0000,0.0000,0.0000,0.0608,0.3042,-0.0041,935.8311,24.3988,-23.9412,-4.4325,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.277108,-0.0605,0.4002,1.0656,0.0000,0.0000,0.0000,-0.1023,0.0716,0.1196,935.8311,24.3988,-23.9412,-4.4325,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.326317,0.0388,0.3149,0.8969,0.0000,0.0000,0.0000,-0.1023,0.0716,0.1196,935.8311,24.3988,-23.9412,-4.4325,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.328140,0.0388,0.3149,0.8969,0.0000,0.0000,0.0000,-0.1023,0.0716,0.1196,935.8311,24.1050,-23.8450,-4.9587,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.337284,0.0388,0.3149,0.8969,0.0000,0.0000,0.0000,-0.1023,0.0716,0.1196,935.8462,24.1050,-23.8450,-4.9587,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.344798,0.0388,0.3149,0.8969,0.0000,0.0000,0.0000,0.1274,-0.1729,0.0263,935.8462,24.1050,-23.8450,-4.9587,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.388136,0.0388,0.3149,0.8969,0.0000,0.0000,0.0000,0.1274,-0.1729,0.0263,935.8462,24.3200,-23.6313,-5.1425,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.392551,-0.0525,0.4034,0.9187,0.0000,0.0000,0.0000,0.1274,-0.1729,0.0263,935.8462,24.3200,-23.6313,-5.1425,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.411844,-0.0525,0.4034,0.9187,0.0000,0.0000,0.0000,-0.1209,0.0093,0.1127,935.8462,24.3200,-23.6313,-5.1425,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.416345,-0.0525,0.4034,0.9187,0.0000,0.0000,0.0000,-0.1209,0.0093,0.1127,935.8364,24.3200,-23.6313,-5.1425,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.455779,-0.0525,0.4034,0.9187,0.0000,0.0000,0.0000,-0.1209,0.0093,0.1127,935.8423,24.3200,-23.6313,-5.1425,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.460617,0.0207,0.3350,0.9028,0.0000,0.0000,0.0000,-0.1209,0.0093,0.1127,935.8423,24.3200,-23.6313,-5.1425,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.467672,0.0207,0.3350,0.9028,0.0000,0.0000,0.0000,-0.1209,0.0093,0.1127,935.8423,24.2312,-23.5887,-5.4600,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.479311,0.0207,0.3350,0.9028,0.0000,0.0000,0.0000,0.0673,-0.1066,0.0006,935.8423,24.2312,-23.5887,-5.4600,32.6287,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.527772,0.0207,0.3350,0.9028,0.0000,0.0000,0.0000,0.0673,-0.1066,0.0006,935.8423,23.6337,-23.9500,-5.2562,32.6287,0.0000,0.0000,0.0000,89.0923,0.00000000,0.00000000,0.00000000,
0.528493,-0.0314,0.4109,1.0733,0.0000,0.0000,0.0000,0.0673,-0.1066,0.0006,935.8423,23.6337,-23.9500,-5.2562,32.6287,0.0000,0.0000,0.0000,89.0923,0.00000000,0.00000000,0.00000000,
0.535870,-0.0314,0.4109,1.0733,0.0000,0.0000,0.0000,0.0673,-0.1066,0.0006,935.8430,23.6337,-23.9500,-5.2562,32.6287,0.0000,0.0000,0.0000,89.0923,0.00000000,0.00000000,0.00000000,
0.547102,-0.0314,0.4109,1.0733,0.0000,0.0000,0.0000,0.0258,-0.1063,0.1952,935.8430,23.6337,-23.9500,-5.2562,32.6287,0.0000,0.0000,0.0000,89.0923,0.00000000,0.00000000,0.00000000,
0.594492,0.0624,0.3151,0.8084,0.0000,0.0000,0.0000,0.0258,-0.1063,0.1952,935.8430,23.6337,-23.9500,-5.2562,32.6287,0.0000,0.0000,0.0000,89.0923,0.00000000,0.00000000,0.00000000,
0.595154,0.0624,0.3151,0.8084,0.5242,-0.5378,-1.1933,0.0258,-0.1063,0.1952,935.8430,23.6337,-23.9500,-5.2562,32.6287,0.0000,0.0000,0.0000,89.0923,0.00000000,0.00000000,0.00000000,
0.595795,0.0624,0.3151,0.8084,0.5242,-0.5378,-1.1933,0.0258,-0.1063,0.1952,935.8430,23.6337,-23.9500,-5.2562,32.6287,228.7746,-21.6896,0.5093,89.0923,0.00000000,0.00000000,0.00000000,
0.607321,0.0624,0.3151,0.8084,0.5242,-0.5378,-1.1933,0.0258,-0.1063,0.1952,935.8430,23.5387,-24.2875,-5.0525,32.6287,228.7746,-21.6896,0.5093,89.0923,0.00000000,0.00000000,0.00000000,
0.613411,0.0624,0.3151,0.8084,0.5242,-0.5378,-1.1933,-0.0023,-0.0790,0.0021,935.8430,23.5387,-24.2875,-5.0525,32.6287,228.7746,-21.6896,0.5093,89.0923,0.00000000,0.00000000,0.00000000,
0.615093,0.0624,0.3151,0.8084,0.5242,-0.5378,-1.1933,-0.0023,-0.0790,0.0021,935.8375,23.5387,-24.2875,-5.0525,32.6287,228.7746,-21.6896,0.5093,89.0923,0.00000000,0.00000000,0.00000000,
0.656134,0.0624,0.3151,0.8084,0.5242,-0.5378,-1.1933,-0.0023,-0.0790,0.0021,935.8468,23.5387,-24.2875,-5.0525,32.6287,228.7746,-21.6896,0.5093,89.0923,0.00000000,0.00000000,0.00000000,
0.662214,-0.0131,0.3765,0.9167,0.5242,-0.5378,-1.1933,-0.0023,-0.0790,0.0021,935.8468,23.5387,-24.2875,-5.0525,32.6287,228.7746,-21.6896,0.5093,89.0923,0.00000000,0.00000000,0.00000000,
0.662756,-0.0131,0.3765,0.9167,-0.1300,0.0903,-0.1425,-0.0023,-0.0790,0.0021,935.8468,23.5387,-24.2875,-5.0525,32.6287,228.7746,-21.6896,0.5093,89.0923,0.00000000,0.00000000,0.00000000,
0.663240,-0.0131,0.3765,0.9167,-0.1300,0.0903,-0.1425,-0.0023,-0.0790,0.0021,935.8468,23.5387,-24.2875,-5.0525,32.6287,228.2879,-21.5242,0.0106,89.0923,0.00000000,0.00000000,0.00000000,
0.666514,-0.0131,0.3765,0.9167,-0.1300,0.0903,-0.1425,-0.0023,-0.0790,0.0021,935.8468,23.2600,-24.1375,-5.8500,32.6287,228.2879,-21.5242,0.0106,89.0923,0.00000000,0.00000000,0.00000000,
0.680778,-0.0131,0.3765,0.9167,-0.1300,0.0903,-0.1425,-0.0396,0.1414,0.0974,935.8468,23.2600,-24.1375,-5.8500,32.6287,228.2879,-21.5242,0.0106,89.0923,0.00000000,0.00000000,0.00000000,
0.726546,-0.0131,0.3765,0.9167,-0.1300,0.0903,-0.1425,-0.0396,0.1414,0.0974,935.8468,23.1612,-24.2725,-5.8525,32.6287,228.2879,-21.5242,0.0106,89.0923,0.00000000,0.00000000,0.00000000,
0.728328,0.0071,0.3332,0.9259,-0.1300,0.0903,-0.1425,-0.0396,0.1414,0.0974,935.8468,23.1612,-24.2725,-5.8525,32.6287,228.2879,-21.5242,0.0106,89.0923,0.00000000,0.00000000,0.00000000,
0.728895,0.0071,0.3332,0.9259,0.0346,-0.3335,-0.0519,-0.0396,0.1414,0.0974,935.8468,23.1612,-24.2725,-5.8525,32.6287,228.2879,-21.5242,0.0106,89.0923,0.00000000,0.00000000,0.00000000,
0.729419,0.0071,0.3332,0.9259,0.0346,-0.3335,-0.0519,-0.0396,0.1414,0.0974,935.8468,23.1612,-24.2725,-5.8525,32.6287,228.0461,-21.5237,0.2030,89.0923,0.00000000,0.00000000,0.00000000,
0.736248,0.0071,0.3332,0.9259,0.0346,-0.3335,-0.0519,-0.0396,0.1414,0.0974,935.8779,23.1612,-24.2725,-5.8525,32.6287,228.0461,-21.5237,0.2030,89.0923,0.00000000,0.00000000,0.00000000,
0.748473,0.0071,0.3332,0.9259,0.0346,-0.3335,-0.0519,0.0115,-0.0049,0.0783,935.8779,23.1612,-24.2725,-5.8525,32.6287,228.0461,-21.5237,0.2030,89.0923,0.00000000,0.00000000,0.00000000,
0.796233,0.0063,0.3735,0.9064,0.0346,-0.3335,-0.0519,0.0115,-0.0049,0.0783,935.8779,23.1612,-24.2725,-5.8525,32.6287,228.0461,-21.5237,0.2030,89.0923,0.00000000,0.00000000,0.00000000,
0.797902,0.0063,0.3735,0.9064,0.0406,0.0618,-0.2435,0.0115,-0.0049,0.0783,935.8779,23.1612,-24.2725,-5.8525,32.6287,228.0461,-21.5237,0.2030,89.0923,0.00000000,0.00000000,0.00000000,
0.798487,0.0063,0.3735,0.9064,0.0406,0.0618,-0.2435,0.0115,-0.0049,0.0783,935.8779,23.1612,-24.2725,-5.8525,32.6287,227.7110,-21.5176,0.1244,89.0923,0.00000000,0.00000000,0.00000000,
0.806215,0.0063,0.3735,0.9064,0.0406,0.0618,-0.2435,0.0115,-0.0049,0.0783,935.8779,23.4587,-23.7775,-5.3362,32.6287,227.7110,-21.5176,0.1244,92.7742,0.00000000,0.00000000,0.00000000,
0.815969,0.0063,0.3735,0.9064,0.0406,0.0618,-0.2435,-0.0536,0.0518,0.0976,935.8779,23.4587,-23.7775,-5.3362,32.6287,227.7110,-21.5176,0.1244,92.7742,0.00000000,0.00000000,0.00000000,
0.816558,0.0063,0.3735,0.9064,0.0406,0.0618,-0.2435,-0.0536,0.0518,0.0976,935.8477,23.4587,-23.7775,-5.3362,32.6287,227.7110,-21.5176,0.1244,92.7742,0.00000000,0.00000000,0.00000000,
0.855673,0.0063,0.3735,0.9064,0.0406,0.0618,-0.2435,-0.0536,0.0518,0.0976,935.8691,23.4587,-23.7775,-5.3362,32.6287,227.7110,-21.5176,0.1244,92.7742,0.00000000,0.00000000,0.00000000,
0.863232,-0.0021,0.3425,0.9499,0.0406,0.0618,-0.2435,-0.0536,0.0518,0.0976,935.8691,23.4587,-23.7775,-5.3362,32.6287,227.7110,-21.5176,0.1244,92.7742,0.00000000,0.00000000,0.00000000,
