
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
0.065531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,337.6187,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.065683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.074029,-0.1635,0.3027,0.9292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.078775,-0.1635,0.3027,0.9292,0.0000,0.0000,0.0000,0.3485,-0.3080,0.1507,0.0000,0.0000,0.0000,0.0000,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.122685,-0.1635,0.3027,0.9292,0.0000,0.0000,0.0000,0.3485,-0.3080,0.1507,939.3958,0.0000,0.0000,0.0000,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.125297,-0.1635,0.3027,0.9292,0.0000,0.0000,0.0000,0.3485,-0.3080,0.1507,939.3958,-1.5850,4.5400,-15.8550,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.141461,-0.1651,0.3713,0.8875,0.0000,0.0000,0.0000,0.3485,-0.3080,0.1507,939.3958,-1.5850,4.5400,-15.8550,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.146130,-0.1651,0.3713,0.8875,0.0000,0.0000,0.0000,0.3013,-0.1330,-0.0043,939.3958,-1.5850,4.5400,-15.8550,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.195716,-0.1651,0.3713,0.8875,0.0000,0.0000,0.0000,0.3013,-0.1330,-0.0043,939.3958,-1.9487,4.9600,-15.6137,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
0.202403,-0.1651,0.3713,0.8875,0.0000,0.0000,0.0000,0.3013,-0.1330,-0.0043,939.3888,-1.9487,4.9600,-15.6137,298.6288,0.0000,0.0000,0.0000,-∞,0.00000000,0.00000000,0.00000000,
