
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),
0.084522,0.0686,0.5379,0.7948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.086173,0.0686,0.5379,0.7948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.086776,0.0686,0.5379,0.7948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.106924,0.0686,0.5379,0.7948,0.0000,0.0000,0.0000,-0.6666,0.8186,0.6225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.108934,0.0686,0.5379,0.7948,0.0471,0.2070,-0.3302,-0.6666,0.8186,0.6225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.143230,0.0686,0.5379,0.7948,0.0471,0.2070,-0.3302,-0.6666,0.8186,0.6225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.144073,0.0877,0.5345,0.8905,0.0471,0.2070,-0.3302,-0.6666,0.8186,0.6225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.144935,0.0798,0.5411,0.8436,0.0471,0.2070,-0.3302,-0.6666,0.8186,0.6225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.155945,0.0798,0.5411,0.8436,0.0471,0.2070,-0.3302,-0.6666,0.8186,0.6225,10.3210,-35.9604,-16.3910,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.161174,0.0798,0.5411,0.8436,0.0471,0.2070,-0.3302,0.0420,0.0265,0.0161,10.3210,-35.9604,-16.3910,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.162121,0.0798,0.5411,0.8436,0.1377,0.1267,0.1486,0.0420,0.0265,0.0161,10.3210,-35.9604,-16.3910,0.0000,0.0000,0.0000,40.74426527,-74.17786174,0.00000000,
0.162690,0.0798,0.5411,0.8436,0.1377,0.1267,0.1486,0.0420,0.0265,0.0161,10.3210,-35.9604,-16.3910,207.5098,-32.1740,4.0606,40.74426527,-74.17786174,0.00000000,
0.200159,0.0847,0.5389,0.8160,0.1377,0.1267,0.1486,0.0420,0.0265,0.0161,10.3210,-35.9604,-16.3910,207.5098,-32.1740,4.0606,40.74426527,-74.17786174,0.00000000,
0.201055,0.0864,0.5394,0.8297,0.1377,0.1267,0.1486,0.0420,0.0265,0.0161,10.3210,-35.9604,-16.3910,207.5098,-32.1740,4.0606,40.74426527,-74.17786174,0.00000000,
0.201697,0.0816,0.5347,0.8314,0.1377,0.1267,0.1486,0.0420,0.0265,0.0161,10.3210,-35.9604,-16.3910,207.5098,-32.1740,4.0606,40.74426527,-74.17786174,0.00000000,
0.205901,0.0816,0.5347,0.8314,0.1377,0.1267,0.1486,0.0420,0.0265,0.0161,10.6079,-37.5320,-17.2699,207.5098,-32.1740,4.0606,40.74426527,-74.17786174,0.00000000,
0.219951,0.0816,0.5347,0.8314,0.1377,0.1267,0.1486,0.0222,-0.0016,0.0074,10.6079,-37.5320,-17.2699,207.5098,-32.1740,4.0606,40.74426527,-74.17786174,0.00000000,
0.220897,0.0816,0.5347,0.8314,0.1035,0.0789,-0.0725,0.0222,-0.0016,0.0074,10.6079,-37.5320,-17.2699,207.5098,-32.1740,4.0606,40.74426527,-74.17786174,0.00000000,
0.221525,0.0816,0.5347,0.8314,0.1035,0.0789,-0.0725,0.0222,-0.0016,0.0074,10.6079,-37.5320,-17.2699,207.6951,-32.4556,4.2845,40.74426527,-74.17786174,0.00000000,
0.255621,0.0816,0.5347,0.8314,0.1035,0.0789,-0.0725,0.0222,-0.0016,0.0074,10.5713,-38.9648,-18.4738,207.6951,-32.4556,4.2845,40.74426527,-74.17786174,0.00000000,
0.259870,0.0852,0.5369,0.8119,0.1035,0.0789,-0.0725,0.0222,-0.0016,0.0074,10.5713,-38.9648,-18.4738,207.6951,-32.4556,4.2845,40.74426527,-74.17786174,0.00000000,
0.261065,0.0921,0.5337,0.8158,0.1035,0.0789,-0.0725,0.0222,-0.0016,0.0074,10.5713,-38.9648,-18.4738,207.6951,-32.4556,4.2845,40.74426527,-74.17786174,0.00000000,
0.262059,0.0957,0.5367,0.8346,0.1035,0.0789,-0.0725,0.0222,-0.0016,0.0074,10.5713,-38.9648,-18.4738,207.6951,-32.4556,4.2845,40.74426527,-74.17786174,0.00000000,
0.278298,0.0957,0.5367,0.8346,0.1035,0.0789,-0.0725,-0.0091,0.0037,0.0139,10.5713,-38.9648,-18.4738,207.6951,-32.4556,4.2845,40.74426527,-74.17786174,0.00000000,
0.279566,0.0957,0.5367,0.8346,0.1414,0.0550,0.0347,-0.0091,0.0037,0.0139,10.5713,-38.9648,-18.4738,207.6951,-32.4556,4.2845,40.74426527,-74.17786174,0.00000000,
0.280389,0.0957,0.5367,0.8346,0.1414,0.0550,0.0347,-0.0091,0.0037,0.0139,10.5713,-38.9648,-18.4738,207.7398,-32.4628,4.5008,40.74426527,-74.17786174,0.00000000,
0.317233,0.0886,0.5359,0.8590,0.1414,0.0550,0.0347,-0.0091,0.0037,0.0139,10.5713,-38.9648,-18.4738,207.7398,-32.4628,4.5008,40.74426527,-74.17786174,0.00000000,
0.318430,0.0806,0.5367,0.8639,0.1414,0.0550,0.0347,-0.0091,0.0037,0.0139,10.5713,-38.9648,-18.4738,207.7398,-32.4628,4.5008,40.74426527,-74.17786174,0.00000000,
0.319668,0.0791,0.5342,0.8397,0.1414,0.0550,0.0347,-0.0091,0.0037,0.0139,10.5713,-38.9648,-18.4738,207.7398,-32.4628,4.5008,40.74426527,-74.17786174,0.00000000,
0.337757,0.0791,0.5342,0.8397,0.0301,0.0245,0.0687,-0.0091,0.0037,0.0139,10.5713,-38.9648,-18.4738,207.7398,-32.4628,4.5008,40.74426527,-74.17786174,0.00000000,
0.339525,0.0791,0.5342,0.8397,0.0301,0.0245,0.0687,0.0316,0.0216,0.0129,10.5713,-38.9648,-18.4738,207.7398,-32.4628,4.5008,40.74426527,-74.17786174,0.00000000,
0.340741,0.0791,0.5342,0.8397,0.0301,0.0245,0.0687,0.0316,0.0216,0.0129,10.5713,-38.9648,-18.4738,207.6790,-32.5431,4.4920,40.74426527,-74.17786174,0.00000000,
0.361743,0.0791,0.5342,0.8397,0.0301,0.0245,0.0687,0.0316,0.0216,0.0129,8.1497,-41.0370,-18.5043,207.6790,-32.5431,4.4920,40.74426527,-74.17786174,0.00000000,
0.377332,0.0825,0.5320,0.8177,0.0301,0.0245,0.0687,0.0316,0.0216,0.0129,8.1497,-41.0370,-18.5043,207.6790,-32.5431,4.4920,40.74426527,-74.17786174,0.00000000,
0.378352,0.0916,0.5357,0.8402,0.0301,0.0245,0.0687,0.0316,0.0216,0.0129,8.1497,-41.0370,-18.5043,207.6790,-32.5431,4.4920,40.74426527,-74.17786174,0.00000000,
0.379256,0.0862,0.5386,0.8570,0.0301,0.0245,0.0687,0.0316,0.0216,0.0129,8.1497,-41.0370,-18.5043,207.6790,-32.5431,4.4920,40.74426527,-74.17786174,0.00000000,
0.395144,0.0862,0.5386,0.8570,0.0301,0.0245,0.0687,0.0235,-0.0059,-0.0028,8.1497,-41.0370,-18.5043,207.6790,-32.5431,4.4920,40.74426527,-74.17786174,0.00000000,
0.396542,0.0862,0.5386,0.8570,0.0665,0.0441,0.0475,0.0235,-0.0059,-0.0028,8.1497,-41.0370,-18.5043,207.6790,-32.5431,4.4920,40.74426527,-74.17786174,0.00000000,
0.397644,0.0862,0.5386,0.8570,0.0665,0.0441,0.0475,0.0235,-0.0059,-0.0028,8.1497,-41.0370,-18.5043,207.3435,-32.6343,4.5637,40.74426527,-74.17786174,0.00000000,
0.406471,0.0862,0.5386,0.8570,0.0665,0.0441,0.0475,0.0235,-0.0059,-0.0028,10.3348,-41.2674,-20.1843,207.3435,-32.6343,4.5637,40.74426527,-74.17786174,0.00000000,
0.434609,0.0796,0.5403,0.8177,0.0665,0.0441,0.0475,0.0235,-0.0059,-0.0028,10.3348,-41.2674,-20.1843,207.3435,-32.6343,4.5637,40.74426527,-74.17786174,0.00000000,
0.437788,0.0752,0.5457,0.8121,0.0665,0.0441,0.0475,0.0235,-0.0059,-0.0028,10.3348,-41.2674,-20.1843,207.3435,-32.6343,4.5637,40.74426527,-74.17786174,0.00000000,
